instance,policy,budget,seed,depth,backend,anchor_gap,incumbent_gap
air05,best_bound,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,10,0,9,plain,0.008062079452836095,0.01122317433836354
air05,best_bound,10,0,8,,0.007035403205351285,0.008986122696595131
air05,best_bound,10,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,10,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,10,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,10,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,10,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,10,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,10,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,10,0,10,plain,0.007303594449078638,0.008986122696595131
air05,best_bound,10,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,10,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,10,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,10,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,10,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,10,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,10,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,10,1,10,,0.007303594449078638,0.008986122696595131
air05,best_bound,10,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,10,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,10,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,10,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,10,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,10,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,10,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,10,2,10,,0.007303594449078638,0.008986122696595131
air05,best_bound,300,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,300,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,300,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,300,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,300,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,300,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,300,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,300,0,10,plain,0.007303594449078638,0.008986122696595131
air05,best_bound,300,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,300,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,300,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,300,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,300,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,300,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,300,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,300,1,10,plain,0.007303594449078638,0.008986122696595131
air05,best_bound,300,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,300,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,300,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,300,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,300,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,300,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,300,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,300,2,10,,0.007303594449078638,0.008986122696595131
air05,best_bound,60,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,60,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,60,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,60,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,60,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,60,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,60,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,60,0,10,,0.007303594449078638,0.008986122696595131
air05,best_bound,60,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,60,1,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,60,1,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,60,1,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,60,1,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,60,1,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,60,1,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,60,1,10,,0.007303594449078638,0.008986122696595131
air05,best_bound,60,2,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,60,2,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,60,2,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,60,2,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,60,2,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,60,2,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,60,2,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,60,2,10,plain,0.007303594449078638,0.008986122696595131
air05,best_bound,900,0,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,900,0,10,plain,0.012461767902732535,0.06074163949344051
air05,best_bound,900,0,11,plain,0.01347286468997254,0.035679077879730035
air05,best_bound,900,0,12,local_branching,0.015299158261924623,0.015431864715249868
air05,best_bound,900,0,11,plain,0.012464927580192613,0.015204367938120876
air05,best_bound,900,0,10,plain,0.010085690452718173,0.01122317433836354
air05,best_bound,900,0,10,plain,0.007904054692558544,0.010692348525062562
air05,best_bound,900,0,10,,0.007303594449078638,0.008986122696595131
air05,best_bound,900,1,0,plain,-0.01882121529341736,0.13323727913854555
air05,best_bound,900,1,10,plain,0.012461767902732535,0.06074163949344051
