instance,budget,bound_driven_mean_gap,exploration_mean_gap,ratio,n_events_bd,n_events_ex
air05,10,0.03686202601327346,0.08386837204991449,2.2751970285006786,3,6
air05,60,0.036399484340638506,0.05347519954903119,1.4691197009439048,3,6
air05,300,0.036399484340638506,0.05949353503439736,1.6344609302054125,3,6
air05,900,0.036399484340638506,0.05481837492460137,1.506020646105663,3,6
csched008,60,0.07032755298651251,0.08497109826589588,1.208219178082191,3,5
csched008,300,0.06904303147077713,0.08497109826589588,1.2306976744186038,3,5
csched008,900,0.06904303147077713,0.08265895953757219,1.1972093023255805,3,5
drayage-100-23,10,1.4233651911841054,1.4233651911841054,1.0,3,6
drayage-100-23,60,0.7116825956067069,0.7116825956067069,1.0,3,6
drayage-100-23,300,2.930862438300302e-11,0.7116825956067069,24282360929.20941,3,6
drayage-100-23,900,1.4233651911841054,0.7116825956067069,0.5000000000102954,3,6
drayage-25-23,10,0.05231053510318742,0.04721800412815435,0.9026480810225401,3,6
drayage-25-23,60,0.048894515828862485,0.04289384419881246,0.8772731148202142,3,6
drayage-25-23,300,0.04377454907483136,0.041159855376340586,0.9402690889169177,3,6
drayage-25-23,900,0.04386161505415124,0.042455060049225585,0.9679319832799332,3,6
irp,10,0.07159454544225258,0.06526296663890475,0.9115633912578605,3,6
irp,60,0.06814436539752274,0.059732940460307395,0.876564630279452,3,6
irp,300,0.0711886302632294,0.05882662403775867,0.8263485871302683,3,6
irp,900,0.07315392172789985,0.052549468070108435,0.7183410927109165,3,6
mcsched,10,0.26082244443081204,0.26699147534160955,1.0236522241184423,3,6
mcsched,60,0.26082244443081204,0.2296797743632634,0.8805981972314126,3,6
mcsched,300,0.26082244443081204,0.22630949895478913,0.8676764741188594,3,6
mcsched,900,0.26082244443081204,0.2302523401829668,0.882793429397697,3,6
rail507,10,3.3087712096332784,3.3160121328224776,1.0021884025006376,3,6
rail507,60,3.154258098223615,3.2837226685054612,1.0410443807229208,3,6
rail507,300,2.787982153611839,3.2311617385288325,1.1589606964818095,3,6
rail507,900,2.787982153611839,3.1898116983309683,1.1441291667518596,3,6
