instance,policy,budget,seed,resolved_policy,resolution_reason,source_run_id,status,incumbent,ttff,elapsed,gap_vs_opt
academictimetablesmall,budgeted_portfolio,10,0,boltzmann_adaptive,budget<=180,p45_academictimetablesmall_boltzmann_adaptive_b10_s0_1788018755,time_limit,,,10.015423667035066,
academictimetablesmall,instance_aware_portfolio,10,0,boltzmann_adaptive,frac_count=4991<5000,p45_academictimetablesmall_boltzmann_adaptive_b10_s0_1788018755,time_limit,,,10.015423667035066,
academictimetablesmall,multi_feature_portfolio,10,0,safeguarded_hybrid,votes=2/4,p45_academictimetablesmall_safeguarded_hybrid_b10_s0_1788018765,time_limit,,,10.086507082975004,
academictimetablesmall,budgeted_portfolio,10,1,boltzmann_adaptive,budget<=180,p45_academictimetablesmall_boltzmann_adaptive_b10_s1_1788018836,time_limit,,,10.085666375001892,
academictimetablesmall,instance_aware_portfolio,10,1,safeguarded_hybrid,frac_count=5250>=5000,p45_academictimetablesmall_safeguarded_hybrid_b10_s1_1788018846,time_limit,,,10.001360333000775,
academictimetablesmall,multi_feature_portfolio,10,1,safeguarded_hybrid,votes=3/4,p45_academictimetablesmall_safeguarded_hybrid_b10_s1_1788018846,time_limit,,,10.001360333000775,
academictimetablesmall,budgeted_portfolio,10,2,boltzmann_adaptive,budget<=180,p45_academictimetablesmall_boltzmann_adaptive_b10_s2_1788018917,time_limit,,,10.008305999974255,
academictimetablesmall,instance_aware_portfolio,10,2,safeguarded_hybrid,frac_count=5258>=5000,p45_academictimetablesmall_safeguarded_hybrid_b10_s2_1788018927,time_limit,,,10.001516749965958,
academictimetablesmall,multi_feature_portfolio,10,2,safeguarded_hybrid,votes=3/4,p45_academictimetablesmall_safeguarded_hybrid_b10_s2_1788018927,time_limit,,,10.001516749965958,
academictimetablesmall,budgeted_portfolio,60,0,boltzmann_adaptive,budget<=180,p45_academictimetablesmall_boltzmann_adaptive_b60_s0_1788019128,time_limit,,,60.000800125009846,
academictimetablesmall,instance_aware_portfolio,60,0,boltzmann_adaptive,frac_count=4991<5000,p45_academictimetablesmall_boltzmann_adaptive_b60_s0_1788019128,time_limit,,,60.000800125009846,
academictimetablesmall,multi_feature_portfolio,60,0,safeguarded_hybrid,votes=2/4,p45_academictimetablesmall_safeguarded_hybrid_b60_s0_1788019178,time_limit,,,60.038424834026955,
academictimetablesmall,budgeted_portfolio,60,1,boltzmann_adaptive,budget<=180,p45_academictimetablesmall_boltzmann_adaptive_b60_s1_1788019269,time_limit,,,60.0051974170492,
academictimetablesmall,instance_aware_portfolio,60,1,safeguarded_hybrid,frac_count=5250>=5000,p45_academictimetablesmall_safeguarded_hybrid_b60_s1_1788019282,time_limit,,,60.206891541951336,
academictimetablesmall,multi_feature_portfolio,60,1,safeguarded_hybrid,votes=3/4,p45_academictimetablesmall_safeguarded_hybrid_b60_s1_1788019282,time_limit,,,60.206891541951336,
academictimetablesmall,budgeted_portfolio,60,2,boltzmann_adaptive,budget<=180,p45_academictimetablesmall_boltzmann_adaptive_b60_s2_1788019358,time_limit,,,60.0253792500007,
academictimetablesmall,instance_aware_portfolio,60,2,safeguarded_hybrid,frac_count=5258>=5000,p45_academictimetablesmall_safeguarded_hybrid_b60_s2_1788019359,time_limit,,,60.00265391601715,
