instance_name,strategy,budget,seed,status,has_solution,incumbent_standardized,optimum,gap_vs_opt,wall_seconds
academictimetablesmall,auto,10.0,0,"time limit exceeded, no integer solution",False,,0.0,,10.07
academictimetablesmall,auto,10.0,1,"time limit exceeded, no integer solution",False,,0.0,,10.07
academictimetablesmall,auto,10.0,2,"time limit exceeded, no integer solution",False,,0.0,,10.06
academictimetablesmall,auto,300.0,0,"time limit exceeded, no integer solution",False,,0.0,,300.07
academictimetablesmall,auto,300.0,1,time limit exceeded,True,442.0,0.0,442.0,300.15
academictimetablesmall,auto,300.0,2,time limit exceeded,True,235.0,0.0,235.0,300.07
academictimetablesmall,auto,60.0,0,"time limit exceeded, no integer solution",False,,0.0,,60.07
academictimetablesmall,auto,60.0,1,"time limit exceeded, no integer solution",False,,0.0,,60.06
academictimetablesmall,auto,60.0,2,"time limit exceeded, no integer solution",False,,0.0,,60.07
academictimetablesmall,auto,900.0,0,time limit exceeded,True,245.0,0.0,245.0,900.08
academictimetablesmall,auto,900.0,1,time limit exceeded,True,8.0,0.0,8.0,900.03
academictimetablesmall,auto,900.0,2,time limit exceeded,True,222.0,0.0,222.0,900.06
academictimetablesmall,best_bound,10.0,0,"time limit exceeded, no integer solution",False,,0.0,,10.07
academictimetablesmall,best_bound,10.0,1,"time limit exceeded, no integer solution",False,,0.0,,10.07
academictimetablesmall,best_bound,10.0,2,"time limit exceeded, no integer solution",False,,0.0,,10.08
academictimetablesmall,best_bound,300.0,0,time limit exceeded,True,255.0,0.0,255.0,300.07
academictimetablesmall,best_bound,300.0,1,time limit exceeded,True,15.0,0.0,15.0,300.16
academictimetablesmall,best_bound,300.0,2,time limit exceeded,True,243.0,0.0,243.0,300.08
academictimetablesmall,best_bound,60.0,0,"time limit exceeded, no integer solution",False,,0.0,,60.08
academictimetablesmall,best_bound,60.0,1,"time limit exceeded, no integer solution",False,,0.0,,60.07
academictimetablesmall,best_bound,60.0,2,"time limit exceeded, no integer solution",False,,0.0,,60.07
academictimetablesmall,best_bound,900.0,0,time limit exceeded,True,213.0,0.0,213.0,900.08
academictimetablesmall,best_bound,900.0,1,time limit exceeded,True,14.0,0.0,14.0,900.04
academictimetablesmall,best_bound,900.0,2,time limit exceeded,True,237.0,0.0,237.0,900.07
academictimetablesmall,best_estimate,10.0,0,"time limit exceeded, no integer solution",False,,0.0,,10.07
academictimetablesmall,best_estimate,10.0,1,"time limit exceeded, no integer solution",False,,0.0,,10.08
academictimetablesmall,best_estimate,10.0,2,"time limit exceeded, no integer solution",False,,0.0,,10.06
academictimetablesmall,best_estimate,300.0,0,time limit exceeded,True,633.0,0.0,633.0,300.07
academictimetablesmall,best_estimate,300.0,1,time limit exceeded,True,1847.0,0.0,1847.0,300.16
academictimetablesmall,best_estimate,300.0,2,time limit exceeded,True,631.0,0.0,631.0,300.06
academictimetablesmall,best_estimate,60.0,0,"time limit exceeded, no integer solution",False,,0.0,,60.06
academictimetablesmall,best_estimate,60.0,1,"time limit exceeded, no integer solution",False,,0.0,,60.06
academictimetablesmall,best_estimate,60.0,2,"time limit exceeded, no integer solution",False,,0.0,,60.06
academictimetablesmall,best_estimate,900.0,0,time limit exceeded,True,633.0,0.0,633.0,900.08
academictimetablesmall,best_estimate,900.0,1,time limit exceeded,True,260.0,0.0,260.0,900.04
academictimetablesmall,best_estimate,900.0,2,time limit exceeded,True,217.0,0.0,217.0,900.07
academictimetablesmall,depth_first,10.0,0,"time limit exceeded, no integer solution",False,,0.0,,10.07
academictimetablesmall,depth_first,10.0,1,"time limit exceeded, no integer solution",False,,0.0,,10.08
academictimetablesmall,depth_first,10.0,2,"time limit exceeded, no integer solution",False,,0.0,,10.08
academictimetablesmall,depth_first,300.0,0,"time limit exceeded, no integer solution",False,,0.0,,300.06
academictimetablesmall,depth_first,300.0,1,time limit exceeded,True,67.0,0.0,67.0,300.16
academictimetablesmall,depth_first,300.0,2,"time limit exceeded, no integer solution",False,,0.0,,300.08
academictimetablesmall,depth_first,60.0,0,"time limit exceeded, no integer solution",False,,0.0,,60.06
academictimetablesmall,depth_first,60.0,1,"time limit exceeded, no integer solution",False,,0.0,,60.05
academictimetablesmall,depth_first,60.0,2,"time limit exceeded, no integer solution",False,,0.0,,60.07
academictimetablesmall,depth_first,900.0,0,time limit exceeded,True,2053.0,0.0,2053.0,900.07
academictimetablesmall,depth_first,900.0,1,time limit exceeded,True,44.0,0.0,44.0,900.03
academictimetablesmall,depth_first,900.0,2,time limit exceeded,True,24.0,0.0,24.0,900.07
air05,auto,10.0,0,time limit exceeded,True,26526.0,26374.0,0.005763251687267764,10.01
air05,auto,10.0,1,time limit exceeded,True,26374.0,26374.0,0.0,10.01
air05,auto,10.0,2,integer optimal solution,True,26374.0,26374.0,0.0,7.59
air05,auto,300.0,0,integer optimal solution,True,26374.0,26374.0,0.0,14.1
air05,auto,300.0,1,integer optimal solution,True,26374.0,26374.0,0.0,10.6
air05,auto,300.0,2,integer optimal solution,True,26374.0,26374.0,0.0,7.87
air05,auto,60.0,0,integer optimal solution,True,26374.0,26374.0,0.0,14.02
air05,auto,60.0,1,integer optimal solution,True,26374.0,26374.0,0.0,10.6
air05,auto,60.0,2,integer optimal solution,True,26374.0,26374.0,0.0,7.59
air05,auto,900.0,0,integer optimal solution,True,26374.0,26374.0,0.0,14.43
air05,auto,900.0,1,integer optimal solution,True,26374.0,26374.0,0.0,10.8
air05,auto,900.0,2,integer optimal solution,True,26374.0,26374.0,0.0,7.63
air05,best_bound,10.0,0,"integer optimal, tolerance",True,26374.0,26374.0,0.0,8.3
air05,best_bound,10.0,1,time limit exceeded,True,26527.0,26374.0,0.005801167816789262,10.01
air05,best_bound,10.0,2,time limit exceeded,True,26374.000000000004,26374.0,1.379380756461558e-16,10.01
air05,best_bound,300.0,0,"integer optimal, tolerance",True,26374.0,26374.0,0.0,8.32
air05,best_bound,300.0,1,integer optimal solution,True,26374.0,26374.0,0.0,12.19
air05,best_bound,300.0,2,integer optimal solution,True,26374.000000000004,26374.0,1.379380756461558e-16,10.86
air05,best_bound,60.0,0,"integer optimal, tolerance",True,26374.0,26374.0,0.0,8.31
air05,best_bound,60.0,1,integer optimal solution,True,26374.0,26374.0,0.0,12.01
air05,best_bound,60.0,2,integer optimal solution,True,26374.000000000004,26374.0,1.379380756461558e-16,10.57
air05,best_bound,900.0,0,"integer optimal, tolerance",True,26374.0,26374.0,0.0,8.53
air05,best_bound,900.0,1,integer optimal solution,True,26374.0,26374.0,0.0,12.14
air05,best_bound,900.0,2,integer optimal solution,True,26374.000000000004,26374.0,1.379380756461558e-16,10.51
air05,best_estimate,10.0,0,integer optimal solution,True,26374.0,26374.0,0.0,9.58
air05,best_estimate,10.0,1,integer optimal solution,True,26374.0,26374.0,0.0,7.71
