policy,budget,n_runs,feasible_runs,mean_gap,median_gap,mean_ttff
best_bound,10,49,21,0.4928619530531416,0.04177185920637243,1.129188827291641
best_estimate,10,48,18,0.5721755831560201,0.025378990951483778,0.7358354976685304
boltzmann_adaptive,10,48,18,0.5929862642545833,0.05195329643007546,0.7270419629963322
budgeted_portfolio,10,48,18,0.5929862642545833,0.05195329643007546,0.7270419629963322
depth_first,10,49,21,0.4926312686929194,0.04177185920637243,1.2635747123387686
greedy_score,10,48,18,0.5677685647872646,0.026687097419975478,0.7241712058926674
hybrid_best_bound_depth,10,49,20,0.5126451987477235,0.025378990951483778,0.854413135352661
instance_aware_portfolio,10,48,18,0.5929862642545833,0.05195329643007546,0.7270419629963322
learned_portfolio,10,36,18,0.571180973151958,0.018530508168270246,0.5303291573881224
learned_v2,10,48,20,0.5117168490196919,0.009150633087643429,0.9894205207441701
multi_feature_portfolio,10,48,18,0.5929862642545833,0.05195329643007546,0.7270419629963322
random_uniform,10,49,19,0.5684925421651051,0.05660878137559718,0.7057049759467574
safeguarded_hybrid,10,48,18,0.5713580648503622,0.020812104861252744,0.739247277834996
best_bound,60,48,20,0.4673408957370305,0.03679063965420167,1.1647622125601629
best_estimate,60,48,20,0.5095944976483905,0.025378990951483778,1.8408300668059383
boltzmann_adaptive,60,47,19,0.5370690572806692,0.04241002799209611,2.1208218793158027
budgeted_portfolio,60,47,19,0.5370690572806692,0.04241002799209611,2.1208218793158027
depth_first,60,48,20,0.46738823863641377,0.04177185920637243,1.3129476812522625
greedy_score,60,48,20,0.510586516970454,0.03579035886985431,2.4193335584539453
hybrid_best_bound_depth,60,48,19,0.4864110341697002,0.031809420102030916,0.8728090461043297
instance_aware_portfolio,60,47,19,0.5370690572806692,0.04241002799209611,2.1208218793158027
learned_portfolio,60,42,20,0.5057851742671106,0.019431918866681976,1.8393026561592705
learned_v2,60,48,20,0.46380585304455374,0.008986122696595131,0.9873444145603572
multi_feature_portfolio,60,47,19,0.5370690572806692,0.04241002799209611,2.1208218793158027
random_uniform,60,48,18,0.5652756598377866,0.039873052294783856,0.7239444491117157
safeguarded_hybrid,60,48,21,0.5038074190466391,0.01899598089027072,3.0028449463314333
best_bound,300,48,20,0.021903451694590022,0.008986122696595131,1.1534087436564733
best_estimate,300,48,20,0.49370632605129244,0.02123643598490938,1.816429181091371
boltzmann_adaptive,300,48,20,0.49554350075930065,0.037085973961012306,2.000896275052219
budgeted_portfolio,300,48,20,0.49370632605129244,0.02123643598490938,1.816429181091371
depth_first,300,48,20,0.02371007771687355,0.010240187785079175,1.299391891603591
greedy_score,300,48,20,0.49739546097744897,0.03878110903811337,2.607616687595146
hybrid_best_bound_depth,300,48,19,0.018067195747439705,0.008986122696595131,0.8627821426428119
instance_aware_portfolio,300,48,20,0.49370632605129244,0.02123643598490938,1.816429181091371
learned_portfolio,300,46,20,0.48984849433160677,0.03548839094886644,1.8395185813016723
learned_v2,300,48,20,0.017239646442135662,0.008986122696595131,0.9808362958981889
multi_feature_portfolio,300,48,20,0.49370632605129244,0.02123643598490938,1.816429181091371
random_uniform,300,48,18,0.5455803466681174,0.039873052294783856,0.709400502337505
safeguarded_hybrid,300,48,21,0.48454550888535697,0.020360961553044666,2.9887909366710423
best_bound,900,48,20,0.021499096075674656,0.008986122696595131,1.1432481104478938
best_estimate,900,48,20,0.4810292224892453,0.025378990951483778,1.8128222332859878
boltzmann_adaptive,900,47,19,0.5155471100208904,0.037467688041047026,2.0886764890471423
budgeted_portfolio,900,48,20,0.4810292224892453,0.025378990951483778,1.8128222332859878
depth_first,900,48,20,0.02371007771687355,0.010240187785079175,1.2921890729485312
greedy_score,900,48,20,0.4906706213801096,0.03878110903811337,2.4352253582997947
hybrid_best_bound_depth,900,48,19,0.018067195747439705,0.008986122696595131,0.8505772716782399
instance_aware_portfolio,900,48,20,0.4810292224892453,0.025378990951483778,1.8128222332859878
learned_portfolio,900,48,19,0.48868126882179624,0.031809420102030916,1.1416640986786468
learned_v2,900,48,20,0.01815134306400577,0.008986122696595131,0.9798471436923137
multi_feature_portfolio,900,48,20,0.4810292224892453,0.025378990951483778,1.8128222332859878
random_uniform,900,48,18,0.5398529237251937,0.039873052294783856,0.7001526041131001
safeguarded_hybrid,900,48,21,0.4665631844611306,0.023259545190715058,3.016059033708492
