split,pairing,regime,n_pairs,mean_log_gap_delta
d120_dev,raise_cut_vs_default,clique,3,+0.1417
d120_dev,raise_cut_vs_default,cmir,4,-0.1225
d120_dev,raise_cut_vs_default,flowcover,2,+0.0499
d120_dev,raise_cut_vs_default,gom,16,-0.0020
d120_dev,raise_cut_vs_default,implbd,9,-0.1055
d120_dev,raise_cut_vs_default,mixed,23,+0.0088
d120_dev,raise_cut_vs_default,other,18,-0.0619
h120_holdout,raise_cut_vs_default,cmir,8,+0.1048
h120_holdout,raise_cut_vs_default,flowcover,2,-0.0181
h120_holdout,raise_cut_vs_default,gom,13,-0.0133
h120_holdout,raise_cut_vs_default,implbd,6,+0.0402
h120_holdout,raise_cut_vs_default,mixed,25,-0.0435
h120_holdout,raise_cut_vs_default,other,9,-0.0238
h120_holdout,raise_cut_vs_scip_dynamic,cmir,8,+0.0857
h120_holdout,raise_cut_vs_scip_dynamic,flowcover,2,+0.0083
h120_holdout,raise_cut_vs_scip_dynamic,gom,13,-0.0249
h120_holdout,raise_cut_vs_scip_dynamic,implbd,6,+0.0067
h120_holdout,raise_cut_vs_scip_dynamic,mixed,25,-0.0493
h120_holdout,raise_cut_vs_scip_dynamic,other,10,+0.1154
