instance,budget,winner,oracle_gap
air05,10,best_bound,0.008986122696595131
air05,60,best_bound,0.008986122696595131
air05,300,best_bound,0.008986122696595131
air05,900,best_bound,0.008986122696595131
csched007,60,safeguarded_hybrid,0.46153846153847633
csched007,300,safeguarded_hybrid,0.46153846153847633
csched007,900,safeguarded_hybrid,0.46153846153847633
csched008,10,hybrid_best_bound_depth,0.05202312138728324
csched008,60,hybrid_best_bound_depth,0.05202312138728324
csched008,300,hybrid_best_bound_depth,0.05202312138728324
csched008,900,hybrid_best_bound_depth,0.05202312138728324
drayage-100-23,10,best_bound,2.930862438300302e-11
drayage-100-23,60,best_bound,2.930862438300302e-11
drayage-100-23,300,best_bound,2.930862438300302e-11
drayage-100-23,900,best_bound,2.930862438300302e-11
drayage-25-23,10,safeguarded_hybrid,0.03730493583282455
drayage-25-23,60,safeguarded_hybrid,0.027467966459923568
drayage-25-23,300,safeguarded_hybrid,0.025331372057552037
drayage-25-23,900,learned_portfolio,0.027467966459923568
irp,10,random_uniform,0.000571024605796552
irp,60,random_uniform,5.2635029959614115e-05
irp,300,random_uniform,8.607858489826255e-05
irp,900,random_uniform,5.2635029959614115e-05
mcsched,10,learned_portfolio,0.024771171817365305
mcsched,60,safeguarded_hybrid,0.02001135686185683
mcsched,300,safeguarded_hybrid,0.02001135686185683
mcsched,900,safeguarded_hybrid,0.02316516683733419
rail507,10,best_bound,3.2911877394636018
rail507,60,best_bound,2.969348659003831
rail507,300,best_bound,0.011494252873563218
rail507,900,best_bound,0.011494252873563218
