instance_id,default_gap,default_dualbound,default_time,default_cuts,efficacy_gap,efficacy_dualbound,efficacy_time,efficacy_cuts,raise_cut_gap,raise_cut_dualbound,raise_cut_time,raise_cut_cuts,raise_portfolio_gap,raise_portfolio_dualbound,raise_portfolio_time,raise_portfolio_cuts,raise_portfolio_rc_gap,raise_portfolio_rc_dualbound,raise_portfolio_rc_time,raise_portfolio_rc_cuts,scip_ensemble_gap,scip_ensemble_dualbound,scip_ensemble_time,scip_ensemble_cuts,best_gap_mode
acc-tight4,,0.0,8.522383,51,,0.0,14.599895,79,,0.0,14.477779,79,,0.0,7.214412,33,,0.0,14.918435,79,,0.0,7.885094,83,
acc-tight5,,0.0,3.983631,61,,0.0,6.966679,400,,0.0,7.46518,400,,0.0,7.5133,400,,0.0,7.671148,400,,0.0,4.350807,61,
adult-regularized,,0.0,30.001144,0,,0.0,30.001359,0,,0.0,30.064092,0,,0.0,30.087801,0,,0.0,30.00168,0,,0.0,30.080294,0,
allcolor10,689.0,6.0,24.576671,469,689.0,6.0,25.612492,400,689.0,6.0,26.061192,400,689.0,6.0,24.017479,469,689.0,6.0,23.769519,469,689.0,6.0,24.857334,469,default
amaze22012-06-28i,,0.0,6.428338,479,,0.0,5.174604,400,,0.0,5.226071,400,,0.0,6.3825009999999995,479,,0.0,6.423344,479,,0.0,6.460097,479,
app3,0.011956940017545882,5683754.022981644,0.551298,125,0.008016553069198497,5705972.100751877,0.7802089999999999,400,0.008016553069198497,5705972.100751877,0.829313,400,0.008016553069198497,5705972.100751877,0.816114,400,0.008016553069198497,5705972.100751877,0.8150999999999999,400,0.007607198274232489,5708290.233299255,0.71124,248,scip_ensemble
arki001,,7580049.661632822,0.9424079999999999,193,,7580099.530027671,1.255274,400,,7580099.530027671,1.290931,400,,7580099.530027671,1.338956,400,,7580204.853863124,3.060381,620,,7580204.853863124,3.09491,620,
australia-abs-cta,2.3702531645580214,106.90466814280897,5.628201,685,2.5756605284229495,105.63602097341257,1.993369,400,2.513210568454974,105.63602097341257,3.502189,355,2.513210568454974,105.63602097341257,3.495971,355,2.513210568454974,105.63602097341257,3.435511,355,1.0886075949372875,106.90466814280897,4.386245,757,scip_ensemble
bc1,0.7611582052683931,2.524189397372015,5.138408,28,0.32806505877875464,2.6379955551350895,5.228533,340,0.32806505877875464,2.6379955551350895,5.302293,340,0.32806505877875464,2.6379955551350895,5.15504,340,0.32806505877875464,2.6379955551350895,5.008879,340,0.3213519167842903,2.6371435424101524,5.286521,240,scip_ensemble
beavma,0.00978616503961753,379612.44991404755,0.072391,224,0.00958395099044787,379646.4866779825,0.082562,400,0.00958395099044787,379646.4866779825,0.087175,400,0.00958395099044787,379646.4866779825,0.087933,400,0.00958395099044787,379646.4866779825,0.09160499999999999,400,0.0009925859463183633,382904.93394379143,0.146125,835,scip_ensemble
bienst2,1.0586392918323946,35.46031608821704,1.005091,261,0.8491567495111166,33.3935995508902,1.103639,400,0.9711806221575291,32.04509315718031,1.238271,314,0.9711806221575291,32.04509315718031,1.236995,314,0.9711806221575291,32.04509315718031,1.233514,314,0.8285958889950276,35.272965660799095,1.2727789999999999,364,scip_ensemble
blp-ic97,0.1779102967574911,3908.777476072878,4.740092,51,0.08284685393792865,3936.461871869041,8.378143,301,0.08284685393792865,3936.461871869041,8.09835,301,0.08284685393792865,3936.461871869041,8.050814,301,0.08284685393792865,3936.461871869041,8.265045,301,0.12885515290482336,3931.7400562676185,8.168426,298,efficacy
bmocbd2,0.0,-31953009810558.203,2.4292030000000002,0,0.0,-31953009810558.203,2.370242,0,0.0,-31953009810558.203,2.307659,0,0.0,-31953009810558.203,2.541056,0,0.0,-31953009810558.203,2.471058,0,0.0,-31953009810558.203,2.519478,0,default
bmocbd3,,-1e+20,30.677237,0,,-1e+20,30.371296,0,,-1e+20,30.063086,0,,-1e+20,30.237694,0,,-1e+20,30.306595,0,,-1e+20,31.922423,0,
core4284-1064,0.33848523844385586,1054.1767361143638,30.006498,24,0.3385245587292236,1054.1457687855825,30.004169,21,0.3385378991143226,1054.1352627621704,30.003926,27,0.3385378991143226,1054.1352627621704,30.005585,27,0.3385378991143226,1054.1352627621704,30.004884,27,0.3385245587292236,1054.1457687855825,30.005051,21,default
core4872-1529,0.3071726387557952,1511.6595478014397,30.005276,42,0.30686414843749665,1512.0163808629463,30.011452,261,0.30686414843749665,1512.0163808629463,30.011226,262,0.30686414843749665,1512.0163808629463,30.005713,262,0.30686414843749665,1512.0163808629463,30.004392,262,0.30719236743481476,1511.6367332205498,30.005756,136,efficacy
cvrpsimple2i,,0.0,1.5135,347,,0.0,1.600627,400,,0.0,1.618017,400,,0.0,1.4479549999999999,347,,0.0,1.473072,347,,0.0,1.491485,347,
dale-cta,,0.0,30.00267,1600,,0.0,23.890591,400,,0.0,23.912616,400,,0.0,23.848602,400,,0.0,30.001336,1600,,0.0,30.001986,1600,
dano3mip,0.6258374291297689,576.8249104178489,30.000278,335,0.4798547780925453,576.6706987214395,30.019021,400,0.4798547780925453,576.6706987214395,30.022249,400,0.4798547780925453,576.6706987214395,30.018719,400,0.6258374291297689,576.8249104178489,30.000357,335,0.6258374291297689,576.8249104178489,30.000426,335,efficacy
danoint,,62.69,0.8723829999999999,92,,62.725786623164886,1.50342,392,,62.715678187339336,0.944751,292,,62.715678187339336,0.9443689999999999,292,,62.715678187339336,0.943396,292,,62.70508685305278,0.958058,399,
dc1c,0.0887001565455367,1759399.76547609,30.020276,26,0.10097825124088976,1759347.7236419918,30.017941,39,0.09002794565051044,1759485.7799314812,30.000456,41,0.09002794565051044,1759485.7799314812,30.000547,41,0.09002794565051044,1759485.7799314812,30.000658,41,0.10745456061818712,1759467.1234297138,30.008787,44,default
